Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Unlucky Charms,Ingles,"Five beautiful girls vie for a chance to become the spokesmodel for diva DeeDee DeVille's new high-end line of lingerie. The claws come out when the competition gets fierce, but when they begin to disappear one by one, they soon find that they are competing for their lives...",2013-06-05,3.779,10,3.7,0,0,70,"Fantasy, Horror",USA,UNRATED,Charles Band,Jessica Lou Allen|Peter Donald Badalamenti II|Sophia Beetz|Anna Sophia Berglund|Roman Coto|Mike Diva|Bianca Figueroa|Katrina Kemp|Nikki Leigh|Chris MacDonnell|Masuimi Max|Charlie O'Connell|Seth Peterson|Nathan Phillips|Jeryl Prescott,"Los Angeles, California, USA",Terror sobrenatural
388 Arletta Avenue,Ingles,A young couple find themselves in an unnerving situation with a mysterious stalker.,2011-09-11,3.776,33,4.8,0,0,87,"Horror, Thriller",Japan,TV-MA,Randall Cole,Nick Stahl|Mia Kirshner|Devon Sawa|Aaron Abrams|Charlotte Sullivan|Krista Bridges|Martin Roach|Graham Abbey|Gerry Dee|Daniel Lévesque|Kyle Labine|David Reale,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",Slasher
Lace Crater,Ingles,"Opting to sleep in the allegedly-haunted guest house while spending a weekend in the Hamptons with friends, Ruth, a lonely young woman in her mid-twenties who's had too much to drink, strikes up a conversation that leads to a sexual encounter with Michael, a burlap-draped ghost that casually appears before her. Through this inter-paranormal relation, Ruth contracts an STD with alarming effects.",2015-09-10,3.775,21,5.4,0,0,83,"Comedy, Drama, Fantasy, Horror",USA,NOT RATED,Harrison Atkins,Lindsay Burdge|Peter Vack|Jennifer Kim|Keith Poulson|Andrew Ryder|Chase Williamson|Joe Swanberg|William Nadylam|Steve Girard|Kati Skelton|Drigan Lee|Betsey Brown|Alice Tolan-Mee|Chloe Lepaule|Chris Osborn,Desconocido,Terror cómico
Devil's Whisper,Ingles,"Devil's Whisper is a supernatural horror film about demonic possession but at its core it's a psychological thriller about repressed memories, childhood trauma and the cycle of abuse.",2017-06-10,3.775,21,4.8,0,0,85,Horror,Indonesia,NOT RATED,Adam Ripp,Luca Oriel|Violkys Bustamante|Alison Fernandez|Marcos A. Ferraez|Benjamin A. Hoyt|Luna Maya|Julia Modesto|Olivia Negron|Jasper Polish|Rick Ravanello|Tessie Santiago|Steven Shaw|Coy Stewart|Justin Tinucci,Desconocido,Terror puro
Soldiers of the Damned,Ingles,"WWII German soldiers take an occult scientist into a haunted forest in Romania, only to be confronted by their own ghosts.",2015-10-07,3.773,45,6.3,0,0,99,"Action, Horror, Thriller, War",UK,NOT RATED,Mark Nuttall,Gil Darnell|Miriam Cooke|Lucas Hansen|Tom Sawyer|Jason Kennedy|Mark Fountain|Matthew John Morley|Nicholas Keith|Nicky Bell|Renny Krupinski|Alan French|Andonis Anthony|Natalia Ryumina|Andrei Zayats|Stuart Adams,"Cumbria, England, UK",Terror bélico
Kruel,Ingles,'Kruel' - is a horror/thriller feature length movie about a psychotic killer who masquerades as an ice cream man in order to get closer to the objects of his affection.,2015-05-29,3.756,12,5.3,2000000,0,104,Horror,USA,NOT RATED,Robert Henderson,Kierney Nelson|Dakota Morrissiey|Adam Vernier|J.T. Chinn|Elizabeth Brewster|Ansley Gordon|Cooper Henderson|Keegan Henderson|Kenny Logsdon|Rita Manyette|Tom Riska|Tom Siedle|Matthew Weidle|Nicholas Williamson|Ericka Winterrowd,"Jacksonville, Florida, USA",Terror puro
"Sweet, Sweet Lonely Girl",Ingles,"Soon after moving in with her aging aunt Dora, Adele meets Beth, seductive and mysterious, who tests the limits of Adele's moral ground and sends her spiraling down a psychologically unstable and phantasmagoric path.",2016-09-22,3.749,35,5.3,0,0,76,"Drama, Horror, Thriller",USA,NOT RATED,A.D. Calvo,Quinn Shephard|Susan Kellermann|Erin Wilhelmi|Hada Vanessa|Frances Eve|Rob Tunstall|Mike S. Ryan|Kristin Johansen|Lainie Ventura|Jonathan Holtzman|A.J. Helm|David Pirrie|Matt Goyette|Adam Schartoff,Desconocido,Terror psicológico
Hitchhiker Massacre,Ingles,"Beautiful, young hitchhiker Sally (Ely LaMay), attempts to survive the night while making her way back home as a sadistic killer and cannibalistic madman (John Blyth Barrymore) haunts the desert highways, probing for fresh roadkill.",2017-04-03,3.746,8,6.1,0,0,0,Horror,USA,NOT RATED,James L. Bills,Ely LaMay|John Blyth Barrymore|Calista Carradine|Rocky Christopher|Allen Perada|Katherine Cronyn|James Bartholet|Veronica Lavery|Stephanie Gerard|Chanel Marie Koi|Krystel Roche,"Hollywood, California, USA",Terror puro
American Guinea Pig: Bouquet of Guts and Gore,Ingles,Two victims are graphically tortured in this American reimagining of the popular underground Japanese film series.,2015-05-05,3.74,16,4.8,0,0,72,Horror,USA,NOT RATED,Stephen Biro,Ashley Lynn Caputo|Lilly Dickenson|Eight The Chosen One|Cayt Feinics|Scott Gabbey|Lucio Giovannelli|David Hood|Curse Mackey|Rogan Russell Marshall|Jim Van Bebber,"Florida, USA",Terror puro
Butcher Boys,Ingles,"A gut-wrenching, non-stop roller coaster ride through the hellish underbelly of inner-city America. A birthday celebration at an upscale restaurant sets in motion events that bring Sissy, her brother, Mikey, and friends, Kenny and Barbie, face to face with the macabre world of the Boneboys. Inspired by Jonathan Swift's cannibalistic tale A Modest Proposal, the Boneboys are international predators who deal in human flesh - dead or alive. Their hunting grounds are the cities of the world.",2013-09-06,3.739,42,4.2,0,0,86,"Action, Comedy, Horror, Thriller",USA,R,"Duane Graves, Justin Meeks",Ali Faulkner|Johnny Walter|Derek Lee Nixon|Tory Taranova|Gregory Kelly|Phillip Wolf|Matt Hensarling|Jon Clinkenbeard|Matt Beene|Katie Patterson|Jack Lee|Justin Meeks|Tom Byrne|Tank Turner|Mike Davis,"Austin, Texas, USA",Terror cómico
Quarries,Ingles,"To escape her abusive boyfriend, Kat joins a wilderness expedition with a group of women, all of whom are struggling with the uncertainty of life. What was supposed to be an opportunity for personal discovery quickly becomes a fight for survival, forcing each one to discover the strength within themselves that they didn't even know they possessed. While being brazenly chased by a pack of predators, the strong quickly set themselves apart from the weak. In a battle of will, stamina, and heart, these very virtues present themselves at the most crucial moment. With death looming, each is left with what is truly important - the strength within oneself.",2016-10-26,3.739,32,5.0,0,0,82,"Drama, Horror, Thriller",USA,NOT RATED,Nils Taylor,Nicole Marie Johnson|Carrie Finklea|Leisha Hailey|Sara Mornell|Luke Edwards|Nicole DuPort|Joy McElveen|Rebecca McFadzien|James Devoti|Wes McGee|Michael Yebba|Ray Fonseca|Cody Davis|Dean Alioto|Bryan Jordan,Desconocido,Terror psicológico
WTF!,Ingles,"Three years ago, twenty-two year old ""girl-next door"" Rachel barely survived a brutal massacre that left all of her friends murdered. Time has passed, and Rachel has moved on, but unfortunately her close friends are spending Spring Break in a secluded house in the woods, and they have cordially invited her to join. She would never have accepted the invitation if she realized that another bloodbath would be showing up as plus one. Once Rachel and her friends arrive at the cabin, the partying, sex, and...terror begins. From girls' only pillow fights to debauchery in a bedroom, it's going to be a blast...aside from the stabbing, flesh melting, and castration. Seven friends will go into a secluded house for the best Spring Break of their lives, but only one will be alive to post about it on Facebook the next week, as Rachel's biggest fears become a reality once again! Can Rachel survive another bloody massacre?",2017-08-01,3.738,40,5.3,0,0,80,Horror,USA,NOT RATED,Peter Herro,Callie Ott|Nicholas James Reilly|Andrea Hunt|Benjamin Norris|Sarah Agor|Adam Foster|Johnny James Fiore|Perez Hilton|Shawn C. Phillips|Chloe Berman|Cheyann Dillon|Nicolle Blair|Adam Blake|Anna Sambrooks|Antonios Antoniadis,"Los Angeles, California, USA",Terror puro
The Hospital 2,Ingles,"The sickness returns in THE HOSPITAL 2, the new film from Deviant Pictures.",2015-09-26,3.737,10,3.7,100000,0,89,Horror,USA,NOT RATED,"Jim O'Rear, Daniel Emery Taylor",Scott Tepperman|Betsy Rue|Jim O'Rear|Alicia M. Clark|Daniel Emery Taylor|Megan Hunt|Lauryn MacGregor|Christina Schimmel|Kealani Hughes|Jason Henry|Constance Medrano|Lara-Louisa Piacquadio|Megan Emerick|Dessa Blackthorn|Cheyenne Oliver,"Marion, Alabama, USA",Terror puro
Fright Fest,Ingles,Blood runs rampant on Halloween night when a small town's Fright Fest becomes real inside the walls of a long abandoned asylum.,2018-08-25,3.723,32,4.2,0,0,90,Horror,USA,NOT RATED,Ante Novakovic,Dylan Walsh|Madison McKinley|Romeo Miller|Mercy Malick|Ashley Blankenship|Luke Baines|Pancho Moler|Robert Scott Wilson|Heather Ann Davis|Jonathan Camp|Kresh Novakovic|Michael Kupisk|Christopher Mann|Yanina Studilina|Peter Patrikios,"Philadelphia, Pennsylvania, USA",Terror puro
Exorcism,Frances,"A disturbed priest, who witness an occult ritual, thinks the people are possessed and start a private inquisition to exorcise the demons by torturing them to death.",1975-08-25,3.722,19,4.6,0,0,97,Horror,UK,NOT RATED,Lance Patrick,Alex Rendall|Aisling Knight|Rick Alancroft|Sarah Akehurst|Elise Harris|Craig Daniels|Terry Felix|Lee Akehurst|Mike Bracewell|Chloe de Burgh|Tommy Carey|Robert Descartes|Kerry Holland|Simon Mathews|Dita Pesek,Desconocido,Terror puro
The Witching,Ingles,"With Halloween only hours away, the members of a popular podcast, The Witching Hour, gather to swap scary stories in the dark. But they bargain for more than just ratings when they venture to the site where the Woodland Valley Witch was brutally murdered.",2016-11-03,3.721,14,3.7,0,0,80,Horror,USA,NOT RATED,Corey Norman,Jessica Bedell|Ian Carlsen|Joanna Clarke|Jennifer Friend|Jack Scannell|Beth Somerville|Ellen Elizabeth White,Desconocido,Terror puro
Lake Fear,Ingles,"Four girls go to a cabin in the woods, which is inhabited by evil. This cabin then ensnares them in a labyrinth of macabre as they must battle their way out.",2014-12-01,3.71,34,4.7,0,0,89,"Comedy, Horror",USA,NOT RATED,Michael Crum,Joshua Winch|Shanon Snedden|Taylor LeeAnn Graham|Jessica Willis|Jori Gill|Dylan Alford|Daryll Arellano|Richard S. Blake|Carly Capra|Gerald Crum|Michael Crum|Lorraine Eubank|Jason Mcroberts|Scott Rumsey,"Dallas, Texas, USA",Terror cómico
Poltergeist Activity,Ingles,A father and daughter encounter unexplainable occurrences and frightening visions in their new home.,2015-06-26,3.705,21,4.1,0,0,83,Horror,USA,NOT RATED,Andrew Jones,Lee Bane|Natalie Martins|Jared Morgan|Judith Haley|Tricia Ford|Sam Harding|Gwynfryn West|Robert Graham|Finelle Grace Batista|Felicity Boylett|Dean Sills,Desconocido,Terror puro
