Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Fire City: End of Days,Ingles,"Vine, a disillusioned demon, is forced  into a choice to save his brethren or an innocent human girl. Demons have been living secretly among humans for centuries. It was a fragile balance that has now been shattered when their life source is destroyed. The demon population must rise up and take all necessary steps for survival or their species will cease to exist. The battle for the Earth has begun. Vine, a disillusioned demon, secretly lives with others of his kind in the world of humans sustained by their misery. Forced into a choice to save his brethren or an innocent human girl, the delicate balance between human and demon kind is threatened, which may result in war.",2015-06-22,3.903,22,5.7,0,0,101,"Fantasy, Horror, Thriller",USA,NOT RATED,Tom Woodruff Jr.,Tobias Jelinek|Danielle Chuchran|Keely Aloña|Kimberly Leemans|Eric Edwards|Simon Sorrells|Pelé Kizy|Brionne Davis|Derrick L. McMillon|Kristin Minter|Harry Shum Jr.|Jen Oda|Bob Burns|Kathy Burns|Connor Woodruff,"Los Angeles, California, USA",Terror sobrenatural
The Doll 2,Indonesio,A couple who devastated after losing their only child resort into obsessive act that can dangerously threatening their own life.,2017-07-20,3.901,34,5.6,0,0,116,"Horror, Thriller",Indonesia,NOT RATED,Rocky Soraya,Herjunot Ali|Luna Maya|Sara Wijayanto|Maria Sabta|Rydhen Afexi|Ira Ilva Sari|Mega Carefansa|Shofia Shireen|Wati Sudiyono|Princess Martinez|Dea Rizkyana|Ferdian Ariyadi|Syntia|Wafa|Shandy Aulia,Desconocido,Slasher
Devil's Domain,Ingles,"After becoming the victim of vicious cyber bullies, Lisa makes a deal with the devil to exact revenge on her tormentors.",2017-05-19,3.898,20,3.4,500000,0,93,"Comedy, Horror",USA,NOT RATED,Jared Cohn,Michael Madsen|Madi Vodane|Linda Bella|Zack Kozlow|Kelly Erin Decker|Brenna Tucker|Desanka Julia Ilic|Ciara Muller|Jordan Matayoshi|Stephanie Strehlow|Molly Nolan|Chloe Wick|Sharifa Oliver|Dave Huber|Andy Rappos,Desconocido,Terror cómico
Chemical Peel,Ingles,A weekend trip to the woods for a bachelorette party turns deadly when a nearby train accident causes a chemical reaction that overtakes the secluded valley. But waiting out the disaster inside could prove to be just as dangerous as being outdoors.,2014-10-14,3.891,14,5.5,20000,0,95,"Drama, Horror",USA,R,Hank Braxtan,Natalie Victoria|Arielle Brachfeld|Stephanie Greco|Lacy Fisher|Lony'e Perrine|Leigh Davis|Ruben Pla|Eric Hailey|Kevin Anthony Brooks|Madeleine Pla|Jim Rose|Dan Sinclair|Ron Vischer,"Glendale, California, USA",Terror psicológico
The Chosen,Ingles,"When a child-stealing demon attaches itself to a little girl, her family is thrust into a battle against time in order to save the girl and send the demon back to hell.",2015-07-23,3.883,54,4.3,0,0,88,"Horror, Thriller",USA,R,Ben Jehoshua,Kian Lawley|Elizabeth Keener|Angelica Chitwood|Chris Gann|Dayna Devon|Wiley B. Oscar|Mykayla Sohn|Casey James Knight|Emily Killian|Barbara Goodson|Melissa Navia|Johnny Alexander|Stefanie Estes|Lexi Flores|Brent Alan Henry,"Los Angeles, California, USA",Slasher
House of Good and Evil,Ingles,"After a family tragedy in the chaotic city, Chris and Maggie Conley, in a last-ditch effort to save their dying marriage, purchase an isolated home in the deepest woods, to which they quickly discover evil has a key.",2013-04-26,3.882,35,4.5,150000,560000,108,"Horror, Thriller",USA,NOT RATED,David Mun,Rae Olivier|Christian Oliver|Marietta Marich|Jordan Rhodes|Rob Neukirch|Bo Keister|Blu de Golyer|Jason Gallimore|Cyndi Keister|David Larsen|Linda Motley|Melodie Pogue,"Baltimore, Maryland, USA",Slasher
The Black Water Vampire,Ingles,"A documentary film crew investigate a series of brutal killings known as the Black Water murders. As they dwelve deeper into the story, they stumble upon a horrifying secret. One they may not survive.",2014-01-21,3.877,32,4.5,0,0,82,"Horror, Mystery, Thriller",USA,UNRATED,Evan Tramel,Danielle Lozeau|Andrea Monier|Anthony Fanelli|Robin Steffen|Bill Oberst Jr.|Emma Anderson|Myles Cranford|Fisher David|Brandon deSpain|William Ferguson|Justin Ferrari|David George Fischer|Bob Greenan|Brad Harris|Lynda Lacayo,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",Terror psicológico
Aranmanai 2,Tamil,A ghost enters a palatial mansion and starts attacking the men in the family. What is its back story?,2016-01-29,3.875,15,4.5,0,0,136,"Action, Horror, Romance",India,NOT RATED,Sundar C.,Sundar C.|Siddharth|Trisha Krishnan|Hansika Motwani|Poonam Bajwa|Vaibhav Reddy|Soori|Kovai Sarala|Manobala|Radha Ravi|Subbu Panchu|Raj Kapoor|Chitra Lakshmanan|Jayabalan|Vinodhini Vaidynathan,Desconocido,Terror romántico
Night of Something Strange,Ingles,"Five teenage friends set out for the beach on their Spring Break vacation. Good times are cut short when one of the group, Carrie, contracts a deadly sexual transmitted disease during a bathroom stop. When they stop for the night at an isolated motel, the real terror begins when the STD virus starts running rampant, turning those infected into the living dead.",2016-04-08,3.843,63,4.9,40000,0,97,"Comedy, Horror",USA,NOT RATED,Jonathan Straiton,Trey Harrison|Rebecca C. Kasek|Wayne W. Johnson|Michael Merchant|Toni Ann Gambale|Nicola Fiore|John Walsh|Janet Mayson|Tarrence Taylor|Kera O'Bryon|Wes Reid|Billy Garberina|Al Lawler|Kirk LaSalle|David Meadows,"Stephens City, Virginia, USA",Terror cómico
Proof of the Devil,Ingles,"Based on true events. 18-year old Jesse Winters, also know as The Butcher, was put to death in Louisiana for committing 23 grisly murders. There was no doubt that he was killer, the question was why? His mother, Kate, claimed that Jesse was possessed by a demon that drove him to fiendish brutality. Now, for the first time on film, Kate will attempt to prove her theories and clear her son’s name by inviting a demon to invade her body.",2015-09-25,3.84,10,3.3,0,0,75,"Horror, Thriller",USA,NOT RATED,Paul Catalanotto,Lisa Mackel Smith|Sam Cobean|Michael Bienvenu|Donovan Jackson|Hunter McGregor|Kristen Merritt|Shane Guilbeau|Max Jay-Dixon|Chad Graham|Escalante Lundy|Graham Ulkins|Cara Long|Heather Kirk-Ballard|Bryan Ballard|Hadley Ballard,Desconocido,Slasher
The Sleeper,Ingles,"It's 1981 and the girls of Alpha Gamma Theta sorority are having a party. As the new pledges arrive, so does an uninvited guest. Little do the sisters know someone is watching them in the shadows. As the girls shower, study, eat and sleep the stalker studies the girls. One by one he finds the girls at their most vulnerable and murders them. The police hunt for the missing girls and their killer, but will they find them in time? Or will the girls be forced to fight for their lives..",2012-01-31,3.838,22,3.0,0,0,90,"Comedy, Horror, Thriller",USA,NOT RATED,Justin Russell,Brittany Belland|Ray Goodwin|Jason Jay Crabtree|Elizabeth Lane|Jenna Fournier|Riana Ballo|Jessica Cameron|Tiffany Arnold|Ali Ferda|Kendra Stevenson|Beverly Kristy|Paul Moon|Eric Sarich|Aaron Russell|John Bloom,"Springfield, Ohio, USA",Terror cómico
Crawl or Die,Ingles,"Earth as we know it is gone. A virus has destroyed the planet and rendered all its women infertile, all but one. An elite team of soldiers are tasked with bringing the woman to safety on the newly habitable Earth Two. But when they are forced underground they find themselves fighting for survival from an bloodthirsty creature in a maze of ever shrinking tunnels. As the team's ranks start to dwindle, the tunnels shrink and the ammunition run out, the crawl for survival becomes more and more desperate.",2014-08-13,3.83,64,5.1,0,0,73,"Horror, Science Fiction, Thriller",USA,NOT RATED,Oklahoma Ward,Nicole Alonso|Torey Byrne|Tommy Ball|Wil Crown|David Wilde|Tom Chamberlain|Clayton Burgess|David Zeliff|Larry Huitt|Matthew Stephen Crabtree|Troy Bailey|Jonathan Dixon|Robbie Huitt|Jeremy Sellers|John Stirling,Desconocido,Terror de ciencia ficción
Cut Shoot Kill,Ingles,Desconocido,2017-08-08,3.828,17,5.4,0,0,98,Horror,USA,NOT RATED,Michael Walker,Alexandra Socha|Alex Hurt|Phil Burke|Jay Devore|Lexi Lapp|Zanny Laird|Josh Salt|Michael Oberholtzer|Lance Channing|Kett Turton|Ian Flanders|Nils Lawton|Keenan Jolliff|Henry Zebrowski|Kyle Harris,Desconocido,Terror puro
Caught,Ingles,"While on an afternoon walk with their children, two small town reporters notice the military camped on a hilltop. Debating the possible significance of this activity, they answer their door when two unusual strangers come knocking and find themselves held hostage in their own home.",2018-03-30,3.825,36,5.1,0,0,86,Horror,USA,NOT RATED,Jamie Patterson,Cian Barry|Ruben Crow|Aaron Davis|Dave Mounfield|April Pearson|Mickey Sumner,Desconocido,Terror puro
Entity,Ingles,"In 1998, thirty four unidentified bodies were found in shallow graves in a remote Siberian forest. After subsequent investigations, no official explanation by the Russian authorities was ever offered about the circumstances of the deaths.",2012-10-24,3.823,33,4.7,0,0,87,"Horror, Thriller",USA,NOT RATED,Mike Yurinko,Holt Boggs|Brandon Slagle|Nick Mancuso|Frederic Doss|Emma Waldron|Natalie Makenna|Jena Waldron,"Lake Ariel, Pennsylvania, USA",Slasher
Cold Moon,Ingles,"Cold Moon takes place in tiny Babylon, Fla., where the granddaughter of Clark’s character is murdered by a mysterious assailant, her body sunk into the black waters of the Styx River — the river where her parents disappeared from their boat a decade earlier. Suspicion falls on a duplicitous banker and his wealthy father, played by Stewart and Lloyd.",2016-10-27,3.822,40,5.0,3200000,0,92,"Crime, Drama, Horror, Mystery, Thriller",USA,NOT RATED,Griff Furst,Josh Stewart|Candy Clark|Robbie Kay|Frank Whaley|Christopher Lloyd|Rachele Brooke Smith|Chester Rushing|Sara Catherine Bellamy|Joe Chrest|Laura Cayouette|Marcus Lyle Brown|Michael Papajohn|Jaiden Kaine|Carol Sutton|Madison Wolfe,"Louisiana, USA",Terror psicológico
Séance,Ingles,"Over Thanksgiving weekend, all but five students in an old Manhattan building that's now a college dormitory leave for home: staying on one floor are roommates Lauren, Melina, and Alison, plus her boyfriend Diego and Grant, a loner in a room down the hall. Lauren's been seeing things in her bathroom: a silent child of about six. Diego has written a paper on parapsychology, so he holds a séance with the disbelieving co-eds. Something goes awry, because bad things start to happen and the students' only defender is an aging campus cop named Syd. What's the silent ghostly girl's secret, and can Alison discover what's going on before it's too late?",2006-04-22,3.817,18,5.8,0,0,88,"Horror, Thriller",Philippines,R,Mark L. Smith,Bridget Shergalis|Tori White|Chauntal Lewis|Kandis Fay|Brandon Mychal Smith|Jack Hunter|Emily O'Brien|Joel Geist|A.J. Lamas|Adrian Paul|Ruby Garson|Andrew Welsh|Mike Kimmel|Kate Robbins|Martin Szumanski,"Cheyenne Studios - 27567 Fantastic Lane, Castaic, California, USA",Slasher
Holy Terror,Ingles,"Believing their deceased son isn't at peace, Molly and Tom ask a medium to make contact. But after they invite a vengeful demon to cross over, the couple must enlist the help of a disgraced priest to attempt a dangerous exorcism.",2017-04-01,3.809,11,4.0,1000000,0,77,Horror,USA,NOT RATED,Rich Mallery,Kelly Lynn Reiter|Jesse Hlubik|Kristine DeBell|Nicole Olson|Lisa London|Scott Butler|Vida Ghaffari|Mel Novak,Desconocido,Terror puro
I-Lived,Ingles,"Josh Fosse is a 20something guy whose life is going nowhere. His girl left, his rent is late, and he lacks a real job. He is trying to make it as an app reviewer online and decides to review a self help app called i-Lived for fun. He's signs on and immediately his life turns around. He meets the girl of his dreams and he gets a job offer he can't refuse. Convinced it's him and not the app, he signs out... and loses everything. He signs on again but this time the terms are different, the app is asking him to do things that are out of his moral comfort zone... but essential to becoming the success the app tells him he can be.",2015-07-03,3.806,30,4.2,0,0,97,"Horror, Mystery, Thriller",USA,NOT RATED,Franck Khalfoun,Jeremiah Watkins|Sarah Power|Christopher Mena|Elaine Partnow|Jan Broberg|Nic D'Avirro|Luis Fernandez-Gil|Maja Miletich|Brian Breiter|Shannon Collis|Josh Cowdery|Jonathan M. Howard|Franck Khalfoun|Koral Michaels|Thomas Payton,Desconocido,Terror psicológico
Code Red,Ingles,"A female doctor struggling to find her daughter after a long lost World War II biological weapon explodes on a U.S. military base in Bulgaria, turning people into mutant zombies.",2013-09-24,3.804,28,4.5,3000000,0,91,Horror,Kuwait,NOT RATED,Valeri Milev,Julian Kostov|Paul Logan|Borislav Iliev|Manal El-Feitury|Velizar Binev|Ralitsa Paskaleva|Forbes KB|Georgi Staykov|Valentin Ganev|Dimo Alexiev|Nikolay Stanoev|Elitsa Razheva|Valeri Yordanov|Mya-Lecia Naylor|Kitodar Todorov,Bulgaria,Terror puro
The Cloth,Ingles,Action/horror story centered on a secret organization formed by the Catholic Church to counteract the rising number of cases of demonic possessions across the country. The story follows a young godless man who is being recruited into the cloth in order to prepare a new generation with the tools needed to stop the rise of the ultimate evil; Beelzebub.,2012-10-28,3.794,25,2.6,2000000,0,88,"Action, Fantasy, Horror",USA,NOT RATED,Justin Price,Danny Trejo|Eric Roberts|Rachele Brooke Smith|Justin Price|Robert Miano|Lassiter Holmes|Kyler Willett|Cameron White|Steven Brand|Perla Rodríguez|Mako Veronica|Ezequiel Rodriguez|Khu|Daniel Roman|Silvia Spross,"Los Angeles, California, USA",Terror sobrenatural
No Tell Motel,Ingles,Dirty little secrets are exposed when five friends become stranded at an abandoned motel haunted by a dark secret of its own.,2012-10-09,3.793,28,4.3,3000000,0,92,Horror,USA,NOT RATED,Brett Donowho,Chalie Howes|Johnny Hawkes|Andrew MacFarlane|Angel McCord|Chelsey Reist|Rileigh Chalmers|James Tyce|Stephanie Van Dyck|Heath Whitelock|Ed Holden|Katrina Mydske|Luke Dodds,"Vernon, British Columbia, Canada",Terror puro
The Afflicted,Ingles,"A story of incomprehensible abuse delivered by an explosively violent mother of four. Journey through the mind of a child that experiences a living hell, defined and defended by the twisted religious beliefs of her mother (imdb.com)",2011-10-22,3.781,26,5.2,180000,175742,85,"Horror, Thriller",USA,NOT RATED,Jason Stoddard,Leslie Easterbrook|Kane Hodder|J.D. Hart|Michele Grey|Sims Holland|Randi Jones|Daniel Jones|Cody Allen|Constance Collins|Ron Stafford|Anthony Garner|Anthony Osment|Matthew M. Anderson|Gezell Fleming,"Charleston, South Carolina, USA",Slasher
