original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
POV～呪われたフィルム～,P.O.V. A Cursed Film,ja,"Mirai and Haruna are shooting a show streamed on smartphones which introduces different viewer submitted videos. That day the videos were all of paranormal phenomena, carefully selected alleged accurate accounts of haunted occurrences. In the middle of one video, the image gets interrupted, immediately turning back on to show a footage that was not in the script. The video capture an urban legend rumoured at Haruna’s school. A psychic on the show assesses that a certain demonological ritual must be performed in order to rid the school of this phenomena. The director, agents and the two girls go to the school accordingly to find there is more to the video than meets the eye…",,2012-02-18,/nXAkrPMwTwm9C5X1fckzFntF1nF.jpg,1.679,15,6.0,0,0,92,Released,False,,"Horror, Thriller",,,p.o.v.acursedfilm,P.O.V. - A Cursed Film, Horror,18-Feb-12,Japan,,5.8,92 min,"Directed by Norio Tsuruta. With Yasuyuki Hirano, Haruna Kawaguchi, Takashi Kodama, Yasuto Kosuda. As part of a show, Haruna and Mirai watch a ghost video submitted by a viewer, only to experience strange occurrences that later draw the crew to Haruna's school; the location of the taken video.",Yasuyuki Hirano|Haruna Kawaguchi|Takashi Kodama|Yasuto Kosuda|Yûki Mashita|Mayu Miura|Mirai Shida|Ami Shimazaki,Japanese,,
Hallows Eve,Hallows Eve,en,"The Hallows Estate is on alert as strange graffiti tags with messages declaring the streets will be taken over on Halloween night begin to appear on walls around the place, along with sightings of strange figures lurking in the shadows. One of the gangs responsible for the serious anti social behavior that give the estate a bad name, decide to take these threats head on and ignore the curfew on Halloween night. But who ever, or what ever, this new threat is, they seem to have the very night on their side as they make good on their promise of claiming the streets by frightening and violent means.",The Night They Take the Town...,2016-08-27,,1.679,4,3.0,0,0,88,Released,False,,"Horror, Thriller",,,hallowseve,Hallows Eve, Horror| Thriller,1-Aug-16,UK,,4.1,88 min,"Directed by Brad Watson. With Sarah Akokhia, Ethan Taylor, Lenox Kambaba, Savannah Baker. The night they take the town...",Sarah Akokhia|Ethan Taylor|Lenox Kambaba|Savannah Baker|Chase Willoughby|Ruby Eva|Chloé Hardy|Frankie Clarence|Duncan Casey|Andromeda Godfrey|Rebecca Kiser|Faith Knight,English,"Essex, England, UK",
Valley of the Witch,Valley of the Witch,en,Dormant spirits have been re-awakened in the Welsh village of Cwmgwrach. Can anyone stop the manifestation of ancient evil? Or is the village fated to pay for it's dark history?,Evil Never Dies,2015-01-13,/ai43LtmoYcJL1WgXXnH4CYsbfDv.jpg,1.677,5,3.2,0,0,0,Released,False,,Horror,,,valleyofthewitch,Valley of the Witch, Horror,13-Jan-15,USA,,5.0,90 min,"Directed by Andrew Jones. With Rachel Howells, Lee Bane, Alison Lenihan, Jared Morgan. Dormant spirits have been re-awakened in the Welsh village of Cwmgwrach. Can anyone stop the manifestation of ancient evil? Or is the village fated to pay for it's dark history?",Rachel Howells|Lee Bane|Alison Lenihan|Jared Morgan|Ross Owen Williams|Lisa Jay Jenkins|Tricia Ford|Jessica Ann Brownlie|Rachael Jones|Andy Evason|Bill Bellamy|Kenton Hall|Linda Bailey|Anastasia Catris|Kris Fisher,English,"Wales, UK",
Kala,Dead Time,id,A police and a journalist uncover series of murders that lead into one problem: A treasure many parties were fighting for and caused many casualties.,"You Know the Secret, Now You Die.",2007-04-19,/8flwD3VpeHLQbIkXo3TVtEx5iAK.jpg,1.674,9,6.9,0,0,106,Released,False,/vdEG0Ge4ArZp9J8LbwtfwsQiRvk.jpg,"Drama, Fantasy, Horror, Mystery, Thriller",,,deadtime,Deadtime, Horror| Thriller,11-May-12,USA,NOT RATED,2.2,97 min,"Directed by Tony Jopia. With Laurence Saunders, Carl Coleman, Elisabeth Shahlavi, Alex Marieka Hanly. A Birmingham-based band are ordered by their unhappy record company to an old warehouse; the goal being to re-start their ailing careers with a kick-ass new promo video. Unfortunately the band and their entourage find themselves targets of a mysterious knife-wielding maniac, haunted by the voice of Satan, and out for revenge.",Laurence Saunders|Carl Coleman|Elisabeth Shahlavi|Alex Marieka Hanly|Leslie Grantham|Terry Christian|Joe Egan|Julian Boote|Stephen Spencer|Matt Gibbons|Louis Murrall|Elle Wood|Emily Welch|Adam Carrington|Ian Donnelly,English,"England, UK","  £25,000  "
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,This is a animated adaptation of the famous novel by Robert Louis Stevenson.,,1986-01-01,/nCeJMeJ0sqntq3j7HsvZ02Y000D.jpg,1.671,6,5.3,0,0,50,Released,False,/ha2WC9WVYtLeZzUNFas6qj2HtT6.jpg,"Animation, Horror",,,dr.jekyllandmr.hyde,Dr. Jekyll and Mr. Hyde, Horror,2017,USA,,7.2,83 min,"Directed by B. Luciano Barsuglia. With Gianni Capaldi, Shaun Paul Piccinino, David Beatty, William McNamara. The good and evil within humanity collide in a horrific confrontation in this faithful retelling of Stevenson's classic story.",Gianni Capaldi|Shaun Paul Piccinino|David Beatty|William McNamara|Margaret O'Brien|Mickey Rooney|Vernon Wells|Elissa Dowling|Randal Malone|Sierra Barsuglia|Jed Rowen|Zan Alda|Diane Baldwin|Michael Beardsley|Jamie Bohannon,English,"Huntington Beach, California, USA",
Morgana,Morgana,es,A young girl is hunted by her nightmares,There are ghosts in this town.,2012-08-03,/rfcdDZ3ZhpABcQ6LseWxRI1NgzC.jpg,1.671,21,6.1,0,1612100,120,Released,False,/sVpIyhR5pNKI1ik3TNHTRTX8KMb.jpg,Horror,,,morgana,Morgana, Horror,3-Aug-12,Mexico,NOT RATED,3.7,90 min,"Directed by Ramón Obón. With Siouzana Melikian, Lilia Aragón, Alejandra Adame, Luis Felipe Tovar. A remote lakeside village hides an old and terrifying secret. One hundred years after the suicide of a woman named Morgana, a newcomer is confronted with the terrifying reality that the lost soul is looking for new blood. This haunting thriller stars Siouzana Melikian, Lilia Aragon, Iran Castillo, Luis Felipe Tovar, Eugenio Becker.",Siouzana Melikian|Lilia Aragón|Alejandra Adame|Luis Felipe Tovar|Irán Castillo|Eugenio Becker|Alejandra Toussaint|David Ostrosky|Ana Julieta Récamier|Abraham Stavans|María Luisa Coronel|Mateo González Oses Obón,Spanish,"Mexico City, Distrito Federal, Mexico",
खामोशियाँ,Khamoshiyan,hi,"A writer adrift in the icy slopes of Kashmir, discovers a woman with a strange and silent past.",Silences Have Secrets,2015-01-30,/xj8IbJd3PFk2ctRTccVGCjDtm3H.jpg,1.668,13,4.8,0,0,122,Released,False,,"Drama, Horror",,,khamoshiyan,Khamoshiyan, Drama| Horror,30-Jan-15,India,,4.0,122 min,"Directed by Karan Darra. With Gurmeet Choudhary, Ali Fazal, Sapna Pabbi, Debina Choudhary. An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",Gurmeet Choudhary|Ali Fazal|Sapna Pabbi|Debina Choudhary|Vikram Bhatt|Vinod Rawat,Hindi,,
Quadrant 9EV9,Quadrant 9EV9,en,"While on a project outing in an abandoned military zone, five college students accidentally release a long kept secret weapon with a nightmarish purpose.",Experimental DNA... From the Dead,2016-03-01,/j1mROBtuc4tHLYmEu7bFMpJl78u.jpg,1.668,3,3.7,0,0,88,Released,False,,"Action, Horror, Science Fiction",,,quadrant9ev9,Quadrant 9EV9, Action| Horror| Sci-Fi| Thriller,1-Mar-16,USA,,3.5,88 min,"Directed by David Maga. With Dominique Storelli, Michael Huntsman, Jennifer Churchich, Jared Leedy. While on a project outing in an abandoned military zone, five college students accidentally release a long kept secret weapon with a nightmarish purpose.",Dominique Storelli|Michael Huntsman|Jennifer Churchich|Jared Leedy|Daniel Will George|Andrew Miller|Andy Mackenzie|Tom McLaren|Philip Lester|Travis Andre Ross|Frank Maga|Shawn Maga|Kennedy Knight|James Jones|David Jones,English,,
We All Fall Down,We All Fall Down,en,"Todd, a haunted young man, runs from the past as he struggles to protect the innocence of Benny, his mute younger brother, in a post apocalyptic world where all the adults have turned into Zombies.","When there is no cure, innocence is the first casualty",2016-08-12,/4geFD0sDBZXd4AwZn0RYg2HU5zV.jpg,1.668,5,5.6,0,0,81,Released,False,,"Adventure, Horror, Science Fiction, Thriller",,,weallfalldown,We All Fall Down, Adventure| Drama| Horror| Sci-Fi| Thriller,12-Aug-16,USA,,2.7,81 min,"Directed by Kurt Knight. With David Phillip Fishman, Cardiff Gerhardt, Stephanie Guzman, Mae Veon Johnson. Todd, a haunted young man, runs from the past as he struggles to protect the innocence of Benny, his mute younger brother, in a post apocalyptic world where all the adults have turned into Zombies.",David Phillip Fishman|Cardiff Gerhardt|Stephanie Guzman|Mae Veon Johnson|Ruby Jones|Simon Jones|Chelsea Jurkiewicz|Evey Lindsey|Lex Lindsey|Melissa Mae|Parker Mayberry|Connor James Moore|Robert Nunez|Avery Pizzuto|Bella Pizzuto,English,"Utah, USA",
The Portal,The Portal,en,An anthology of horror shorts about death.,,2017-04-25,/p0FeiLkUnmEbOY9uEYEYdNd4oOJ.jpg,1.667,6,6.8,0,0,75,Released,False,,Horror,,,theportal,The Portal, Horror,25-Apr-17,USA,,4.2,,"Directed by Nicky Hawthorne, Svend Ploug Johansen, Ruben Rodriguez. With Renne Araujo, Angela Borrello, Jules Bruff, Anthony Fanelli. An anthology of horror shorts about death.",Renne Araujo|Angela Borrello|Jules Bruff|Anthony Fanelli|Jaelen Haylette|Joshua Heggie|Kyle Kankonde|Meagan Leigh|Jerod Meagher|Jason Curtis Miller|Michael Mooney|Stephania Potalivo|Brock Powell|Crystal Quin|Shelley Regner,English,,
Laundry Man,Laundry Man,en,"On an obscure chat site, Jeff pretends to be an SM mistress who’s looking for a sister to her slave Julie. That way Jeff manages to gain the trust of his victims and lure them to his flat, where a gruesome fate awaits them.",He never pays for sex,2016-04-05,/kjwd37aJAUCzZ3nAkuDJkwir98o.jpg,1.664,7,4.2,0,0,114,Released,False,,Horror,,,laundryman,Laundry Man, Horror,1-Jan-17,USA,,4.2,111 min,"Directed by Johan Vandewoestijne. With Ignace Paepe, Dan Rutter, Ziva Marshall, Kristel Breugelmans. Laundry Man is the story about a rather clumsy serial killer. It is partly based on the crimes committed by American serial killer Jeffrey Dahmer and those committed by the Belgian-Hungarian pastor Andras Pandy.",Ignace Paepe|Dan Rutter|Ziva Marshall|Kristel Breugelmans|Gunther Vanhuysse|Martin van Maris|Adam Fellows|Eddy Van de Putte,English,,
OMG... We're in a Horror Movie,OMG... We're in a Horror Movie,en,"Six friends having a weekly board game night are interrupted by a booming movie trailer voice from the sky. Inexplicably, they find themselves trapped in a Horror Movie. Who amongst them will turn into a homicidal killer? Who will be the sole survivor? And who will be the first to die in the shower? Struggling to break free from the stereotypes that would see them dead, each of the friends try to stay alive in whatever hopelessly desperate ways they can.",,2015-01-09,/tQv8kolrVgTVnaO8v631MJWR2Yh.jpg,1.663,6,3.3,0,0,107,Released,False,,"Comedy, Horror",,,omg...we'reinahorrormovie,OMG... We're in a Horror Movie, Comedy| Horror,9-Dec-16,Germany,,4.1,107 min,"Directed by Ajala Bandele. With Ajala Bandele, Jenny Curtis, Liz Fenning, Christopher Hampton. Six friends having a weekly board game night are interrupted by a booming movie trailer voice from the sky. Inexplicably, they find themselves trapped in a Horror Movie. Who amongst them will turn into a homicidal killer? Who will be the sole survivor? And who will be the first to die in the shower? Struggling to break free from the stereotypes that would see them dead, each of the friends try to...",Ajala Bandele|Jenny Curtis|Liz Fenning|Christopher Hampton|Nils Jansson|Greg Loebell|Sharon Mae|Shanna Malcolm|Brendan McGowan|Chynna Skye|Sam Szabo|Jennifer van Heeckeren|Brittany Anne Woodford,English,,
Monsterland,Monsterland,en,"Welcome to Monsterland! A terrifying place where savage beasts, carnivorous creatures, and grotesque abominations are the new normal; and the human race is now at the bottom of the food chain.",,2016-06-07,/292On1hG2Bwti7oosVj0xUIwjHR.jpg,1.662,11,5.7,0,0,108,Released,False,,"Fantasy, Horror, Thriller",,,monsterland,Monsterland, Fantasy| Horror| Thriller,7-Jun-16,USA,NOT RATED,4.6,108 min,"Directed by Erik Gardner, Andrew Kasch, Josh LaCasse. With Steven Barton, Jon Condit, Kaye Marie DeLancey, Eileen Dietz. Welcome to Monsterland! A terrifying place where savage beasts, carnivorous creatures, and grotesque abominations are the new normal; and the human race is now at the bottom of the food chain.",Steven Barton|Jon Condit|Kaye Marie DeLancey|Eileen Dietz|Megan Duffy|Brian Feldman|Sarah French|Cody Goodfellow|David Hahn|Daniel Sheldon Hentschke|Ted Hentschke|Sean Keller|Joe Knetter|Josh LaCasse|Cricket Lee,English,,
Feast of Fear,Feast of Fear,en,A group of college students make a deal to have wishes granted with dire consequences.,,2016-10-22,/kn5Dp8xCAQkh8eDMfISe4DOk5mI.jpg,1.662,1,2.0,0,0,65,Released,False,,Horror,,,feastoffear,Feast of Fear, Horror,2016,USA,,,,"Directed by John Lechago. With Robert Davi, Clint Howard, John Karyus, Victoria De Mare. A group of college students make a deal to have wishes granted with dire consequences.",Robert Davi|Clint Howard|John Karyus|Victoria De Mare|Alex Meth|Kate Stone|A'ja Noel|Adam Michael Gold|Victoria Levine|Tamario Fletcher|Al Burke|Nihilist Gelo|Rachel Alig|James Andronica|Brittany Chrishawn,English,"Los Angeles, California, USA","$1,100,000 "
Wasteland,Wasteland,en,"Wasteland is set in a world ravaged by a deadly virus and within that world is Scott Miller, a man who, against the odds, is trying to carve out some sort of life. The deadly infection that has ravaged the globe has almost totally wiped out the human race and Scott must spend his days finding water, food etc. Whilst trying to find uninfected people by radio, he must also avoid the many dangers that lurk in the outside world, while he waits for the return of the love of his life, Beth.",The end of the world,2013-10-26,/c6CpIawZuUJdeacBXGLbGRcUHst.jpg,1.661,11,4.2,260,0,92,Released,False,,"Drama, Horror",,,wasteland,Wasteland, Drama| Horror,1-Sep-15,USA,NOT RATED,3.3,92 min,"Directed by Tom Wadlow. With Shameer Seepersand, Jessica Messenger, Mark Drake, Rachel Benson. Wasteland is set in a world ravaged by a deadly virus and within that world is Scott Miller, a man who, against the odds, is trying to carve out some sort of life. The deadly infection that has ravaged the globe has almost totally wiped out the human race and Scott must spend his days finding water, food etc. Whilst trying to find uninfected people by radio, he must also avoid the many dangers ...",Shameer Seepersand|Jessica Messenger|Mark Drake|Rachel Benson|Gavin Harrison|Damian Brooke|Carl Bryan|Mike Rhodes|Deborah Ashton-Cleary|Siobhan Ashton-Cleary|Ajaz Aslam|Paul Bednall|Joshua Bennett|Joshua Bennett|Andrew Bould,English,"Derby, Derbyshire, England, UK","  £500,000  "
Blood of the Tribades,Blood of the Tribades,en,"A vampire named Bathor turned an entire village to vampires, stuck around long enough to teach them to survive, and then promised to return in 2000 years after conquering the rest of the continent. The only problem with this plan is that the vampires, although immortal, have only a limited capacity for memory. As time passes, they forget their utopian society and led by the totalitarian zealot Grando, become paranoid, superstitious fundamentalists, splitting their society by race and gender lines, seeking to destroy those who are deemed sinful. Long-forgotten lovers Élisabeth and Fantine find that, with the help of those who were banished in the past, it is their fate to piece together the past and help preserve the little that remains before Bathor’s impending return.",The blood is the life!,2016-03-27,/agnvVd1sZVIx7TUUjYY87GFi2R3.jpg,1.659,4,5.8,0,0,78,Released,False,,Horror,,,bloodofthetribades,Blood of the Tribades, Fantasy| Horror,20-Jan-17,USA,,7.0,78 min,"Directed by Sophia Cacciola, Michael J. Epstein. With Chloé Cunha, Mary Widow, Seth Chatfield, Tymisha 'Tush' Harris. 2000 years after the great vampire Bathor established the village of Bathory, superstition and religious violence take over as the men and women battle for control. When the men are afflicted with a mysterious illness, they become certain that the vampire women of Bathory are responsible for their ills, and thus, the hunt begins! Long-forgotten lovers Élisabeth and Fantine find that, with the ...",Chloé Cunha|Mary Widow|Seth Chatfield|Tymisha 'Tush' Harris|Kristofer Jenson|Zach Pidgeon|Sindy Katrotic|Simone de Boudoir|Stabatha La Thrills|Lilith Beest|Irina Peligrad|Maggie Maraschino|Dale Stones|Andrew C. Wiley|Savana Petruzello,English,"Somerville, Massachusetts, USA","$20,000 "
Dismembering Christmas,Dismembering Christmas,en,"At a vacation winter lake house, seven high school seniors are attacked by a madman out for revenge.",Deck the Halls...With Lots of Bodies!,2015-10-01,/nc8vCfOLKiDVgZLB7I9VCOHw8U4.jpg,1.658,7,3.9,25000,0,74,Released,False,,Horror,,,dismemberingchristmas,Dismembering Christmas, Horror,13-Oct-15,USA,NOT RATED,4.3,74 min,"Directed by Austin Bosley. With Baker Chase Powell, Danielle Doetsch, Leah Wiseman, Nina Kova. At a vacation winter lake house, seven high school seniors are attacked by a madman out for revenge.",Baker Chase Powell|Danielle Doetsch|Leah Wiseman|Nina Kova|Johnathon Krautkramer|Austin Bosley|Jennifer Lenius|Shannon McInnis|Marla Van Lanen|Scott Seagren,English,"Rhinelander, Wisconsin, USA","$25,000 "
Blood Slaughter Massacre,Blood Slaughter Massacre,en,"10 years ago, Officer James Fincher narrowly escaped being killed at the hands of a masked maniac. Now a Detective, a new string of murders has begun in Havenwood. Has the Ripper returned?",,2013-05-19,/4MB6Bni7sfAVwPARh1bkT530BiK.jpg,1.657,3,2.3,13000,0,113,Released,False,/uJIsyRNrH8eA5JY5W6H1losOEDg.jpg,Horror,,,bloodslaughtermassacre,Blood Slaughter Massacre, Horror| Thriller,19-May-13,USA,NOT RATED,4.7,125 min,"Directed by Manny Serrano. With Matt W. Cody, Mike Roche, Byron M. Howard, Carmela Hayslett. 10 years ago, Officer James Fincher narrowly escaped being killed at the hands of a masked maniac. Now a Detective, a new string of murders has begun in Havenwood. Has the Ripper returned?",Matt W. Cody|Mike Roche|Byron M. Howard|Carmela Hayslett|Danielle Lenore|Melissa Roth|Bradley Creanzo|Loretta Vendetta|Samantha Quintana|Natasha Lee|Patrick Devaney|Christopher J. Murphy|Daniel Perez|David Garelik|Curtis Wilkerson,English,"Queens, New York City, New York, USA","$50,000 "
The Void,The Void,en,"The Void is a multi volume anthology series featuring some of the best award winning short films from the Horror, Suspense, Thriller, Sci-Fi and Fantasy genres, Including: Dystopia St., ...",,2016-11-08,,1.652,3,5.3,0,0,86,Released,False,,"Fantasy, Horror, Science Fiction, Thriller",,,thevoid,The Void, Horror,8-Nov-16,USA,,4.3,86 min,"Directed by David Cave, Christine Chen, Tyler Meyer. With Tanner Burke, Christine Chen, Kyle Conner, Adam Duncan. The Void is a multi volume anthology series featuring some of the best award winning short films from the Horror, Suspense, Thriller, Sci-Fi and Fantasy genres, Including: Dystopia St., Dextrocardia, A Dark Night at the Wrong House, Carrier Crow, Status Change, 300,000 Kilometers Per Second, A Birds Nest and Fairy Knowledge.",Tanner Burke|Christine Chen|Kyle Conner|Adam Duncan|Deke Garner|Gracie Grenier|Del Howison|Shaun Lavery|Stephan Meyer|Stephanie Meyer|William Meyer|Freya Parker|Kambria Porter|Amy Ripley|Bill Rude,English,,
The Void,The Void,en,"The Void is a multi volume anthology series featuring some of the best award winning short films from the Horror, Suspense, Thriller, Sci-Fi and Fantasy genres, Including: Dystopia St., ...",,2016-11-08,,1.652,3,5.3,0,0,86,Released,False,,"Fantasy, Horror, Science Fiction, Thriller",,,thevoid,The Void, Horror| Mystery| Sci-Fi,7-Apr-17,USA,NOT RATED,5.8,90 min,"Directed by Jeremy Gillespie, Steven Kostanski. With Aaron Poole, Kenneth Welsh, Daniel Fathers, Kathleen Munroe. Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",Aaron Poole|Kenneth Welsh|Daniel Fathers|Kathleen Munroe|Ellen Wong|Mik Byskov|Art Hindle|Stephanie Belding|James Millington|Evan Stern|Grace Munro|Matthew Kennedy|Trish Rainone|David Scott|Mackenzie Sawyer,English,"Sault Ste Marie, Ontario, Canada",
血まみれスケバン・チェーンソー,Bloody Chainsaw Girl,ja,Giko Nokomura is a delinquent girl and a senior in middle school. She struggles to kill zombies who were her classmates.,May the chaos be with you...,2016-08-01,/tfdEZms32JXbfl5f5TBXMFwOFSP.jpg,1.649,8,4.6,0,0,76,Released,False,/AbfRy7VhAjpAKXfKpEH0VSlE9U8.jpg,"Action, Comedy, Horror",649306.0,Bloody Chainsaw Girl Collection,bloodychainsawgirl,Bloody Chainsaw Girl, Action| Horror,20-Feb-16,Japan,,4.6,,"Directed by Hiroki Yamaguchi. With Mizuho Abe, Seijirô Nakamura, Ray Nishimura, Kayako Okuda.",Mizuho Abe|Seijirô Nakamura|Ray Nishimura|Kayako Okuda|Seira Satô|Yûki Tamaki|Rio Uchida|Mari Yamachi,Japanese,,
Zonbideo,Zomvideo,ja,"Aiko and Hashimoto discovere a VHS videotape called ""A Guide to Surviving Zombies From"". This is a video with a set of instructions that will help them cope with the invasion of the undead living in Japan.",,2011-10-14,/3cyBDHQXHyLvhwXAJCE01GRc9tS.jpg,1.648,6,5.2,0,0,77,Released,False,,"Comedy, Horror",,,zomvideo,Zomvideo, Comedy| Horror,29-Dec-12,Japan,,5.1,,"Directed by Kenji Murakami. With Akari, Mai Hagiwara, Tomu Miyazaki, Yûji Morita.",Akari|Mai Hagiwara|Tomu Miyazaki|Yûji Morita|Saki Nakajima|Kôichi Ohori|Chisato Okai|Mayu Sugano|Jtarô Sugisaku|Airi Suzuki|Miyuki Torii|Maimi Yajima,Japanese,,
Ghosts in the Machine,Ghosts in the Machine,en,"Documentary charting the history of the supernatural on British TV, revisiting classic ghost stories and controversial shows. Contributors include Derren Brown and Yvette Fielding.",,2009-10-27,,1.648,0,0.0,0,0,60,Released,False,,"Documentary, Horror",,,ghostsinthemachine,Ghosts in the Machine, Fantasy| Horror| Mystery| Sci-Fi,11-Oct-16,USA,,3.7,83 min,"Directed by Gautier Cazenave. With Florie Auclerc-Vialens, Ruy Buchholz, Morgan Lamorté, Delphine Lanniel. Six young people find an old VCR in an abandoned French house. The machine turns out to be magical... or is it cursed?",Florie Auclerc-Vialens|Ruy Buchholz|Morgan Lamorté|Delphine Lanniel|Isabel McCann|Petur Oskar Sigurdsson,English,,
The Possessed,The Possessed,en,"A former priest, now an exorcist, battles the satanic forces that are threatening the students at a girls school.",,1977-05-01,/pUDN2LHziKIASiVvQSgxxNMQIAM.jpg,1.647,14,5.1,0,0,76,Released,False,/mNMzzrcXhSPb0HD6SAp6Vx14mrg.jpg,"Horror, TV Movie",,,thepossessed,The Possessed, Horror,23-Jul-16,China,,6.9,110 min,"Directed by Kai Ma. With Tianwen Dong, Jia He, Shuda Zhao, Zhongxue Wen. Two teenagers goes to the countryside to investigate the world of fortune-telling.",Tianwen Dong|Jia He|Shuda Zhao|Zhongxue Wen|Yuan He,Chinese,,
Beautiful People,Beautiful People,en,A group of thieves have the tables turned on them during a home invasion. Hidden in the basement they find the remains of secret viral lab experiments gone savagely wrong. Now they must escape before they are infected with a new strain of virus that turns its victims into mutated psychopaths.,Who is the real monster?,2014-11-06,/y6BxyCh7jvkoICLR3axnhxZ92BS.jpg,1.647,11,3.8,0,0,75,Released,False,/lKXwmSxtKfCY4ZzurciMENoi9pX.jpg,"Horror, Science Fiction",,,beautifulpeople,Beautiful People, Horror,29-Jul-15,Philippines,,4.4,75 min,"Directed by Brini Amerigo. With Danny Cutler, Alex Lucchesi, Alex Southern, Kate Davies-Speak. In a mansion in the woods, the peaceful life of a medical scientist and his family is upset by a three masked men raid. During an endless night of terror and violence, the unthinkable happens: the house is invaded by inhuman monsters. Fear will unveil the true nature of each character, forcing them to wonder...""Who is the real monster?""",Danny Cutler|Alex Lucchesi|Alex Southern|Kate Davies-Speak|David White|James Wiles|Vanina Marini|Alexandra Antonioli|Ettore Nicoletti|Tania Caceres Alessi|Andrea Azzali|Enrico Galli|Andrea Levialdi Ghiron|Luca Iori|Gianmarco Laterza,English,"Rome, Lazio, Italy",
Dead Woman's Hollow,Dead Woman's Hollow,en,,"In Appalachia, blood always runs to the hollow.",2013-09-24,/seZKdvCVOhAGD4fvfmqlKHeqLe.jpg,1.645,2,1.5,0,0,105,Released,False,,"Crime, Horror, Thriller",,,deadwoman'shollow,Dead Woman's Hollow, Crime| Drama| Horror| Romance| Thriller,24-Sep-13,USA,,5.3,106 min,"Directed by Libby McDermott. With Jeremy Bingaman, Bethany Coyle, Roger Durga Dahal, Charles Dawson. Based on a shocking true crime that took place on the Appalachian trail. Two female students set off for a camping trip into the Pennsylvania woods - but they are hunted, shot and left for dead by a mountain man after he discovers they are lesbians. A local sheriff soon begins to piece together more unsolved disappearances and murders on the trail, but can he act in time to stop more killings.",Jeremy Bingaman|Bethany Coyle|Roger Durga Dahal|Charles Dawson|Charles Dawson|Suzi Delarnoux|Koran Dunbar|Boyd Dunson|Monique Dupree|Bernardo Gomez-Kling|Christy Green|Mel Heflin|Maura Housley|Shane Huckle|Grace Kober,English,,
Judy,Judy,en,"Bad things happen to bad people. That's what Ursula, the ring leader of a deranged group of street performers called ""The Crows"", always says. For no apparent reason, the gang starts to torment Mary and Judy: a young car driver and her dog. Her only crime was not paying attention to the annoying street performers. For Mary, the curtains of the most insane and dangerous show will rise - and fall. The Crows' show is not just about blood.",Bad things happen... to bad people,2014-11-15,/30RuJq5SrkaZh0uUQEcI8YAWDcf.jpg,1.645,7,3.1,0,0,80,Released,False,,"Horror, Thriller",,,judy,Judy, Horror| Thriller,15-Nov-14,Italy,NOT RATED,4.2,80 min,"Directed by Emanuele De Santi. With Jade Matthew, Carol Bolt, Ashleigh Whitfield, Orietta Babusci. A team of street performers dragging around a spike crate is terrorising a young woman in her house giving her a private show to the bloody end.",Jade Matthew|Carol Bolt|Ashleigh Whitfield|Orietta Babusci|Marlagrazia Giorgi,English,,
The Goblin,The Goblin,en,,,2017-10-31,/7BA7fz61imeFqyVXXJaOSYLKart.jpg,1.643,1,8.0,30000,0,67,Released,False,,"Fantasy, Horror, Thriller",,,thegoblin,The Goblin, Fantasy| Horror| Thriller,1-Sep-17,USA,,,63 min,"Directed by Wyatt Michael. With Robert Levey II, Nicole Hargrove, Josh Collins, Wyatt Michael. A boy imprisoned by an abusive recluse mother alone in a mansion in the 1920s begins to get ideas of his own when a goblin in his closet comforts him in the dark.",Robert Levey II|Nicole Hargrove|Josh Collins|Wyatt Michael,English,North Carolina USA,"$26,000 "
La senda,The Path,es,"In an attempt to recover his marriage, Raul will go with Ana and her son Nico to celebrate Christmas in a cabin away from it all. During the celebration of Christmas his life will change forever. During his strange experiences Raul begins traveling through his memories and faces the reality of his actions.",,2012-06-15,/jFRc2sFRsE6cfcgYt0FRB04BRo7.jpg,1.642,21,4.6,0,0,82,Released,False,/vVtann9WTNa1WXvTDKUXWmDtYKP.jpg,"Drama, Horror, Thriller",,,thepath,The Path, Horror| Thriller,9-Nov-12,Mexico,,5.0,,"Directed by Miguel Ángel Toledo. With Ariel Castro, Raquel Escribano, Javier Montó, Joan Prades. The chess player Raúl invites his estranged wife Ana and his son Nico to travel with him during Christmas to an isolated cabin in a snowy mountain expecting to reconcile with her. On the arrival, Raúl asks the landlord someone to help to chop wood for the family and the helpful carpenter Samuel comes to the house and cut the wood. When Raúl sees his wife giving attention of Samuel, he becomes ...",Ariel Castro|Raquel Escribano|Javier Montó|Joan Prades|Gustavo Salmerón|Ricardo Trenor|Irene Visedo,Spanish,"Ciudad de la Luz, Alicante, Comunidad Valenciana, Spain",
